num_nodes,num_salesmen,num_instances,valid_count,avg_total_cost,avg_longest_route_cost,avg_runtime_seconds,min_total_cost,max_total_cost
51,2,1,1,452.4421931480367,242.0356978275898,0.2247033000003284,452.4421931480367,452.4421931480367
51,3,1,1,490.9177052159937,196.80985352598336,0.147233599998799,490.9177052159937,490.9177052159937
51,5,1,1,557.4283767603195,138.86461573165238,0.1990834999996877,557.4283767603195,557.4283767603195
51,7,1,1,614.283605512589,136.54909561663956,0.6019983000005595,614.283605512589,614.283605512589
52,2,1,1,9007.60512641316,5074.135517121907,0.4783281999989413,9007.60512641316,9007.60512641316
52,3,1,1,9208.121379681535,3231.2813826568017,0.2114205000016227,9208.121379681535,9208.121379681535
52,5,1,1,10201.512794123111,2889.225593008017,0.3312441000016406,10201.512794123111,10201.512794123111
52,7,1,1,10760.05124655636,3084.380565981709,0.5341967000003933,10760.05124655636,10760.05124655636
76,2,1,1,601.6161708113104,351.58938161822687,0.3731795999992755,601.6161708113104,601.6161708113104
76,3,1,1,631.4412332612347,218.2748431493524,0.2251548000003822,631.4412332612347,631.4412332612347
76,5,1,1,695.2867634146644,156.4831687518204,0.5450057999987621,695.2867634146644,695.2867634146644
76,7,1,1,791.7143071670203,161.12924327253708,0.9924703999986376,791.7143071670203,791.7143071670203
99,2,1,1,1456.987346619243,825.1513606322374,0.6228571999999986,1456.987346619243,1456.987346619243
99,3,1,1,1561.5227151761255,589.8849524033768,0.7013115000008838,1561.5227151761255,1561.5227151761255
99,5,1,1,2032.569871876996,509.6780820052445,2.780766699999731,2032.569871876996,2032.569871876996
99,7,1,1,2229.885941072452,522.3965905475892,11.345160200000464,2229.885941072452,2229.885941072452
