instance_name,num_nodes,num_salesmen,is_valid,total_cost,longest_route_cost,runtime_seconds,error_message
eil51-m2,51,2,True,452.4421931480367,242.03569782758981,0.2418958999996903,
eil51-m3,51,3,True,490.9177052159937,196.80985352598339,0.18306500000016968,
eil51-m5,51,5,True,557.4283767603195,138.86461573165238,0.2029010000001108,
eil51-m7,51,7,True,614.283605512589,136.54909561663956,0.6292625999999473,
berlin52-m2,52,2,True,9007.60512641316,5074.135517121907,0.3372739999999794,
berlin52-m3,52,3,True,9208.121379681535,3231.2813826568017,0.17852999999968233,
berlin52-m5,52,5,True,10193.02489853766,2880.737697422563,0.25833430000011504,
berlin52-m7,52,7,True,10144.04074178395,3535.4696224926925,1.0318806999998742,
eil76-m2,76,2,True,597.2066020081777,323.1719263137045,0.21621920000006867,
eil76-m3,76,3,True,626.4594534718792,215.18815769366338,0.30685310000035315,
eil76-m5,76,5,True,695.4053083897944,156.4831687518204,0.5714084000001094,
eil76-m7,76,7,True,786.6858690423653,161.0493336518815,1.1126945999999407,
rat99-m2,99,2,True,1456.8003327275037,832.2003565542884,0.9763536000000386,
rat99-m3,99,3,True,1541.9798481178557,584.4322748199204,0.8818802999999207,
rat99-m5,99,5,True,2032.8974847115294,509.6780820052445,2.6017581999999493,
rat99-m7,99,7,True,2317.974490361218,487.1295770583317,10.069880900000044,
