num_nodes,num_salesmen,num_instances,valid_count,avg_total_cost,avg_longest_route_cost,avg_runtime_seconds,min_total_cost,max_total_cost
51,2,1,1,452.4421931480367,242.0356978275898,0.2478341999994882,452.4421931480367,452.4421931480367
51,3,1,1,484.7745121642113,166.58820349221995,0.1641339000016159,484.7745121642113,484.7745121642113
51,5,1,1,563.1171004345133,138.86461573165238,0.2133079999985057,563.1171004345133,563.1171004345133
51,7,1,1,614.283605512589,136.54909561663956,0.5973034999988158,614.283605512589,614.283605512589
52,2,1,1,9007.60512641316,5074.135517121907,0.5006389000009221,9007.60512641316,9007.60512641316
52,3,1,1,9208.121379681535,3231.2813826568017,0.2208712999999988,9208.121379681535,9208.121379681535
52,5,1,1,10193.02489853766,2880.737697422563,0.2756369999988237,10193.02489853766,10193.02489853766
52,7,1,1,10186.525534888036,3535.4696224926925,0.7539926999997988,10186.525534888036,10186.525534888036
76,2,1,1,597.2066020081777,323.1719263137045,0.231814700000541,597.2066020081777,597.2066020081777
76,3,1,1,628.3545478055457,215.18815769366336,0.2413444000012532,628.3545478055457,628.3545478055457
76,5,1,1,699.7093268742307,156.4831687518204,0.5164660999980697,699.7093268742307,699.7093268742307
76,7,1,1,798.5228580378216,162.09991512619996,1.0221792000011192,798.5228580378216,798.5228580378216
99,2,1,1,1465.1344671000577,840.534490926842,0.9177968000003602,1465.1344671000577,1465.1344671000577
99,3,1,1,1552.608616473112,584.4322748199204,0.8644772000006924,1552.608616473112,1552.608616473112
99,5,1,1,2032.569871876996,509.6780820052445,2.838586000001669,2032.569871876996,2032.569871876996
99,7,1,1,2500.6503064397907,516.689435510125,4.740362799999275,2500.6503064397907,2500.6503064397907
