num_nodes,num_salesmen,num_instances,valid_count,avg_total_cost,avg_longest_route_cost,avg_runtime_seconds,min_total_cost,max_total_cost
51,2,1,1,452.4421931480367,242.0356978275898,0.2418958999996903,452.4421931480367,452.4421931480367
51,3,1,1,490.9177052159937,196.80985352598336,0.1830650000001696,490.9177052159937,490.9177052159937
51,5,1,1,557.4283767603195,138.86461573165238,0.2029010000001108,557.4283767603195,557.4283767603195
51,7,1,1,614.283605512589,136.54909561663956,0.6292625999999473,614.283605512589,614.283605512589
52,2,1,1,9007.60512641316,5074.135517121907,0.3372739999999794,9007.60512641316,9007.60512641316
52,3,1,1,9208.121379681535,3231.2813826568017,0.1785299999996823,9208.121379681535,9208.121379681535
52,5,1,1,10193.02489853766,2880.737697422563,0.258334300000115,10193.02489853766,10193.02489853766
52,7,1,1,10144.04074178395,3535.4696224926925,1.0318806999998742,10144.04074178395,10144.04074178395
76,2,1,1,597.2066020081777,323.1719263137045,0.2162192000000686,597.2066020081777,597.2066020081777
76,3,1,1,626.4594534718792,215.18815769366336,0.3068531000003531,626.4594534718792,626.4594534718792
76,5,1,1,695.4053083897944,156.4831687518204,0.5714084000001094,695.4053083897944,695.4053083897944
76,7,1,1,786.6858690423653,161.0493336518815,1.1126945999999407,786.6858690423653,786.6858690423653
99,2,1,1,1456.8003327275037,832.2003565542884,0.9763536000000386,1456.8003327275037,1456.8003327275037
99,3,1,1,1541.9798481178557,584.4322748199204,0.8818802999999207,1541.9798481178557,1541.9798481178557
99,5,1,1,2032.8974847115292,509.6780820052445,2.6017581999999493,2032.8974847115292,2032.8974847115292
99,7,1,1,2317.974490361218,487.1295770583317,10.069880900000044,2317.974490361218,2317.974490361218
