instance_name,num_nodes,num_salesmen,is_valid,total_cost,longest_route_cost,runtime_seconds,error_message
eil51-m2,51,2,True,452.4421931480367,242.03569782758981,0.22470330000032845,
eil51-m3,51,3,True,490.9177052159937,196.80985352598339,0.14723359999879904,
eil51-m5,51,5,True,557.4283767603195,138.86461573165238,0.19908349999968777,
eil51-m7,51,7,True,614.283605512589,136.54909561663956,0.6019983000005595,
berlin52-m2,52,2,True,9007.60512641316,5074.135517121907,0.4783281999989413,
berlin52-m3,52,3,True,9208.121379681535,3231.2813826568017,0.2114205000016227,
berlin52-m5,52,5,True,10201.512794123113,2889.225593008017,0.3312441000016406,
berlin52-m7,52,7,True,10760.051246556359,3084.380565981709,0.5341967000003933,
eil76-m2,76,2,True,601.6161708113104,351.58938161822687,0.3731795999992755,
eil76-m3,76,3,True,631.4412332612347,218.27484314935236,0.22515480000038224,
eil76-m5,76,5,True,695.2867634146644,156.4831687518204,0.5450057999987621,
eil76-m7,76,7,True,791.7143071670203,161.12924327253708,0.9924703999986377,
rat99-m2,99,2,True,1456.987346619243,825.1513606322374,0.6228571999999986,
rat99-m3,99,3,True,1561.5227151761255,589.8849524033768,0.7013115000008838,
rat99-m5,99,5,True,2032.569871876996,509.6780820052445,2.780766699999731,
rat99-m7,99,7,True,2229.885941072452,522.3965905475892,11.345160200000464,
