instance_name,num_nodes,num_salesmen,is_valid,total_cost,longest_route_cost,runtime_seconds,error_message
eil51-m2,51,2,True,453.1691444955861,236.42571414203863,0.09939419999955135,
eil51-m3,51,3,True,486.39073132997373,169.4308670802632,0.04961809999986144,
eil51-m5,51,5,True,556.0751448173305,138.86461573165238,0.17508189999989554,
eil51-m7,51,7,True,614.283605512589,136.54909561663956,0.48886620000030234,
berlin52-m2,52,2,True,9255.993771127687,4713.244593860469,0.15457640000022366,
berlin52-m3,52,3,True,8987.269376218741,4051.393115464334,0.3321163999999044,
berlin52-m5,52,5,True,10193.02489853766,2880.737697422563,0.23016520000055607,
berlin52-m7,52,7,True,10144.04074178395,3535.4696224926925,0.6993276000002879,
eil76-m2,76,2,True,605.1545859324265,304.62710243150593,0.3106924000003346,
eil76-m3,76,3,True,629.332251203022,215.1881576936633,0.18668019999950047,
eil76-m5,76,5,True,715.3870347955672,156.4831687518204,0.5052806999992754,
eil76-m7,76,7,True,791.7143071670203,161.12924327253708,0.9966986999997971,
rat99-m2,99,2,True,1447.3198068382862,805.1070354086385,0.86586140000054,
rat99-m3,99,3,True,1560.0285761710109,585.0075963319316,0.6890918999997666,
rat99-m5,99,5,True,1998.3365377451337,512.9443718548544,3.3421190999997634,
rat99-m7,99,7,True,2322.561984203928,503.4569365194618,9.939561899999717,
